# index ref form lemma:morpheus lemma:cltk lemma:cltk-stanza lemma:dilemma pos:morpheus pos:cltk pos:cltk-stanza pos:dilemma agree
1 01.01.01 ἔστι εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
2 01.01.01 μὲν μέν μέν μέν μέν X- D- D- X- Y
3 01.01.01 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
4 01.01.01 Ἑλλὰς Ἑλλάς ἑλλάς Ἑλλάς Ἑλλάς N- A- N- N- N
5 01.01.01 γῆ Γαῖα γῆ γῆ γῆ N- N- N- N- N
6 01.01.01 μικρὰ μικρός μικρός μικρός μικρός A- A- A- A- Y
7 01.01.01 καὶ καί καί καί καί C- C- D- C- Y
8 01.01.01 ὀρεινὴ ὀρεινός ὀρεινός ὀρεινός ὀρεινός A- A- A- A- Y
9 01.01.01 (μόνη μόνος μόνος μόνος μόνος A- A- A- A- Y
10 01.01.01 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
11 01.01.01 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
12 01.01.01 Θεσσαλία Θεσσαλία Θεσσαλία Θεσσαλία Θεσσαλία N- N- N- N- Y
13 01.01.01 οὐκ οὐ οὐ οὐ οὐ D- D- D- D- Y
14 01.01.01 ὀρεινή ὀρεινός ὀρεινός ὀρεύνης ὀρεινός A- A- A- A- N
15 01.01.01 ἐστιν), εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
16 01.01.01 ἔχει ἔχις ἔχω ἔχω ἔχω N- V- V- V- N
17 01.01.01 δὲ δέ δέ δέ δέ X- X- C- C- Y
18 01.01.01 δύο δύο δύο δύο δύο A- A- A- A- Y
19 01.01.01 μοίρας· μοῖρα μοῖρα μοῖρα μοῖρα N- N- N- N- Y
20 01.01.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
21 01.01.01 μέσῳ μέσος μέσος μέσος μέσος A- A- A- A- Y
22 01.01.01 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
23 01.01.01 αὐτῶν αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
24 01.01.01 ἐστὶν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
25 01.01.01 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
26 01.01.01 Κορίνθιος Κορίνθιος κορίνθιος Κορίνθιος Κορίνθιος A- A- A- A- N
27 01.01.01 κόλπος, κόλπος κόλπος κόλπος κόλπος N- N- N- N- Y
28 01.01.01 καὶ καί καί καί καί C- C- C- C- Y
29 01.01.01 στενός στενός στενος στενός στενός A- A- A- A- N
30 01.01.01 ἐστιν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
31 01.01.01 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
32 01.01.01 ἰσθμός. ἰσθμός ἰσθμός ἰσθμός ἰσθμός N- N- N- N- Y
33 01.01.02 καὶ καί καί καί καί C- C- D- C- Y
34 01.01.02 ἤπειρος ἤπειρος ἤπειρος ἤπειρος ἤπειρος N- N- N- N- Y
35 01.01.02 μέν μέν μέν μέν μέν X- D- D- X- Y
36 01.01.02 ἐστιν εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
37 01.01.02 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
38 01.01.02 πρὸς πρός πρός πρός πρός P- P- P- P- Y
39 01.01.02 Βορέαν Βορέας Βορέα Βορέας Βορέας N- N- N- N- N
40 01.01.02 μοῖρα, μοῖρα μοῖρα μοῖρα μοῖρα N- N- N- N- Y
41 01.01.02 χερσόνησος χερσόνησος χερσόνησος χερσόνησος χερσόνησος N- A- N- N- Y
42 01.01.02 δὲ δέ δέ δέ δέ X- C- C- C- Y
43 01.01.02 ἡ ὁ ὁ ὁ ὁ RA RA RA RA Y
44 01.01.02 πρὸς πρός πρός πρός πρός P- P- P- P- Y
45 01.01.02 μεσημβρίαν· μεσήμβριος μεσημβρία μεσημβρία μεσημβρία A- N- N- N- N
46 01.01.02 καὶ καί καί καί καί C- D- D- C- Y
47 01.01.02 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
48 01.01.02 μὲν μέν μέν μέν μέν X- D- D- X- Y
49 01.01.02 παλαιοὶ παλαιός παλαιός παλαιός παλαιός A- A- A- A- Y
